parent_metro_region,state_code,region_type,region,median_sale_price,median_ppsf,median_sale_price_cagr,median_ppsf_cagr
"Ukiah, CA",CA,place,"Brooktrails, CA",258125.0,217.6976540717937,0.04054248734582422,0.04977941205597203
"Washington, DC",VA,place,"Hybla Valley, VA",570000.0,437.7880184331797,-0.020194736855793205,0.044731521460784185
"Springfield, OH",OH,place,"South Charleston, OH",32400.0,25.714285714285715,-0.15568747042521003,-0.09756022970104017
"Camden, NJ",NJ,place,"Springdale, NJ",575000.0,185.1303317535545,0.05871349372520651,0.045933645519946165
"Bakersfield, CA",CA,place,"Mojave, CA",215000.0,211.53846153846155,0.1270742049856195,0.10136021564136599
"Visalia, CA",CA,place,"Pixley, CA",228000.0,186.12244897959184,0.10370139667772982,0.1508956562122743
"Fort Lauderdale, FL",FL,place,"Parkland, FL",1125000.0,358.1762513983867,0.08425511509374828,0.08393957307066935
"Saginaw, MI",MI,place,"Buena Vista, MI",26500.0,32.97275641025641,0.12377455022856476,0.14352245811257203
"Charlotte, NC",NC,place,"Wadesboro, NC",111650.0,78.63085045662099,0.12140641832103971,0.09647255954726175
"New Brunswick, NJ",NJ,place,"Milltown, NJ",535000.0,295.31250953994567,0.05078440385178662,0.04352566649144296
"Lexington, KY",KY,place,"Winchester, KY",225500.0,123.0789177446936,0.1232999587154282,0.08733286029358389
"Salem, OH",OH,place,"La Croft, OH",90000.0,189.07563025210084,0.13440603902751547,0.2668444074137799
"Calhoun, GA",GA,place,"Resaca, GA",242450.0,165.42369874371153,0.14043562886683603,0.12191239971342038
"Denver, CO",CO,place,"Highlands Ranch, CO",690000.0,264.9325626204239,0.07023242478549196,0.08116304769078897
"Riverside, CA",CA,place,"Yucaipa, CA",570000.0,314.3420538136318,0.08000829943455656,0.07651017637468716
"Ashtabula, OH",OH,place,"Roaming Shores, OH",185000.0,135.95195522039958,-0.0236390829897698,-0.010178006518209548
"North Port, FL",FL,place,"Sarasota Springs, FL",386000.0,300.8573655494933,0.10008852253683798,0.09946330176859397
"Campbellsville, KY",KY,place,"Campbellsville, KY",215000.0,117.35611510791368,0.10166163893100211,0.056606661573078476
"Lincoln, NE",NE,place,"Hickman, NE",382000.0,161.60920387837507,0.12276330870462049,0.08126708057477217
"California, MD",MD,place,"Mechanicsville, MD",410000.0,188.8204225352113,0.05113488813961764,0.033780848871327596
"Syracuse, NY",NY,place,"Hamilton, NY",360000.0,120.64343163538874,0.038138233768143515,0.05115354276961237
"Fort Worth, TX",TX,place,"Godley, TX",360000.0,187.842278203724,0.1379170924119868,0.14504544184786483
"Charleston, SC",SC,place,"Awendaw, SC",569725.0,366.7234749169726,-0.0009212006867385103,0.09638115044937745
"Las Cruces, NM",NM,place,"Picacho Hills, NM",469000.0,219.89899462498667,0.06840459624028683,0.0503746710118238
"Atlanta, GA",GA,place,"Villa Rica, GA",295500.0,151.97207291169968,0.101046326229703,0.10514370210921342
"Kapaa, HI",HI,place,"Lawai, HI",1075000.0,806.2139271199753,0.06931233706971618,0.06470146193973059
"Mobile, AL",AL,place,"Saraland, AL",287500.0,137.61084544314963,0.015410357497896765,0.030225628313378605
"Binghamton, NY",NY,place,"Barker, NY",248000.0,117.70289511153298,0.011136692791213987,-0.025550012045548298
"California, MD",MD,place,"Piney Point, MD",259000.0,287.77777777777777,0.024409353161412684,0.04854510525669009
"Pensacola, FL",FL,place,"Midway, FL",392450.0,211.09271523178808,0.06766919099700974,0.07848105963218144
"Jacksonville, FL",FL,place,"World Golf Village, FL",512500.0,220.1602564102564,0.06727275201935523,0.07302867681328973
"Myrtle Beach, SC",NC,place,"Carolina Shores, NC",314900.0,190.1658767772512,0.08026664496552383,0.0792339342352546
"Washington, DC",MD,place,"West Laurel, MD",472500.0,197.8643216080402,0.04612488162844297,0.008661932399663952
"Washington, DC",VA,place,"Centreville, VA",800000.0,291.8586789554532,0.040086891113623624,0.03682071873188142
"Myrtle Beach, SC",NC,place,"Holden Beach, NC",975000.0,595.9657701711492,0.0701383838828109,0.06015934121374822
"Owensboro, KY",KY,place,"Sorgho, KY",356000.0,154.98476273400087,0.07359676681291694,0.07261118446811277
"Roanoke, VA",VA,place,"Rocky Mount, VA",142000.0,135.23809523809524,0.02774757066071354,0.053643325533220265
"Portland, OR",WA,place,"Yacolt, WA",400975.0,394.19601482854495,0.08804137280294633,0.11454533851965265
"Greenville, SC",SC,place,"Iva, SC",163500.0,125.18230827198424,0.27238939937744844,0.22910718994091805
"San Jose, CA",CA,place,"Hollister, CA",680000.0,391.99081152917296,0.05383908757699585,0.06557954299840296
"San Antonio, TX",TX,place,"New Braunfels, TX",385000.0,191.59301769488283,0.07045427319811415,0.06751075451579469
"Show Low, AZ",AZ,place,"Show Low, AZ",460000.0,278.1136638452237,0.08260355699363386,0.10912125488925883
"Camden, NJ",NJ,place,"Swedesboro, NJ",288500.0,154.22278247225535,0.10012789247271492,0.12238356481112711
"Fairbanks, AK",AK,place,"Fairbanks, AK",244950.0,159.20738358534567,0.0448874943191413,0.037584358531912665
"Moses Lake, WA",WA,place,"Warden, WA",375000.0,213.44083696510452,0.1670625363335636,0.10529643688411161
"Cincinnati, OH",OH,place,"West Chester, OH",417750.0,178.86803321972062,0.0924780902554343,0.08597593228151323
"New Brunswick, NJ",NJ,place,"Ship Bottom, NJ",1350000.0,836.3381410256411,0.057068683258444386,0.05264818338432753
"Indianapolis, IN",IN,place,"Prince's Lakes, IN",290000.0,236.92810457516336,0.08070694393697586,0.13198915968470937
"Tulsa, OK",OK,place,"Glenpool, OK",269990.0,165.01970443349754,0.08956769755982008,0.08149502052811797
"Lansing, MI",MI,place,"Grand Ledge, MI",254900.0,155.82655826558266,0.08186816202890279,0.08484796946214002
