total_population,median_home_value,median_gross_rent,state,zip_code
19896,230400,65708,25,01606
8167,184300,39928,25,01607
4471,174400,31384,25,01608
21628,325300,45992,25,01609
22023,181800,33695,25,01610
2277,233500,98140,25,01611
4900,316800,120469,25,01612
32590,433400,111209,25,01701
39799,355600,65154,25,01702
790,267000,170789,25,01718
5561,546500,115395,25,01719
22791,588100,141265,25,01720
17710,401900,124130,25,01721
14070,655300,128354,25,01730
2059,-666666666,107778,25,01731
5299,547700,173024,25,01740
5224,845100,195889,25,01741
19121,871300,152240,25,01742
595,405900,127700,25,01745
14724,448600,135340,25,01746
5947,341100,108294,25,01747
17598,577600,157353,25,01748
19887,353700,91706,25,01749
39736,348500,80943,25,01752
10754,350200,105254,25,01754
6115,473900,125945,25,01756
28883,314800,83243,25,01757
35761,565000,115446,25,01760
4316,783800,198681,25,01770
9526,618500,148409,25,01772
4884,926400,140125,25,01773
7133,507800,148235,25,01775
19122,720800,191310,25,01776
14088,714300,185906,25,01778
40359,453900,90969,25,01801
27650,533800,118721,25,01803
35816,620500,151334,25,01810
32797,408600,106141,25,01821
25754,427200,126081,25,01824
31294,332900,90000,25,01826
3366,470900,135909,25,01827
26305,310700,65224,25,01830
23270,295100,66961,25,01832
8695,460400,128466,25,01833
6780,406700,103125,25,01834
13958,293600,76538,25,01835
5573,151900,24045,25,01840
49367,283500,43411,25,01841
25002,265400,56680,25,01843
50282,333200,77484,25,01844
30842,505400,108070,25,01845
16151,241400,52827,25,01850
30686,277700,60596,25,01851
35532,280700,59037,25,01852
28937,254300,53322,25,01854
6890,362600,84609,25,01860
10623,386200,96514,25,01862
9372,334800,100672,25,01863
15581,536700,128651,25,01864
25077,562800,132948,25,01867
30878,389300,102934,25,01876
12443,388400,113489,25,01879
26720,505800,100693,25,01880
24342,531300,144917,25,01886
23377,473800,125922,25,01887
22738,943800,169623,25,01890
2135,315600,24446,25,01901
49641,298400,46224,25,01902
17294,366100,81788,25,01904
24580,294700,62927,25,01905
28222,395000,88630,25,01906
15278,475500,112761,25,01907
3502,625400,97778,25,01908
17434,336200,82468,25,01913
41885,437300,80586,25,01915
8282,678700,184007,25,01921
3910,511800,128083,25,01922
27406,427400,89250,25,01923
3745,574600,106283,25,01929
30162,425400,72574,25,01930
180,-666666666,-666666666,25,01937
13963,485600,93212,25,01938
13474,659800,119602,25,01940
5383,852400,148854,25,01944
20500,675400,123333,25,01945
9872,555600,125204,25,01949
18077,548400,109839,25,01950
3150,522600,95345,25,01951
9379,363200,81626,25,01952
52628,387600,73290,25,01960
7231,536400,85208,25,01966
6372,486100,115909,25,01969
43033,367200,68860,25,01970
8031,569100,127813,25,01982
6568,598700,136863,25,01983
5240,605100,128056,25,01984
4631,570400,149167,25,01985
17108,316200,101477,25,02019
23369,510500,105919,25,02021
8484,872100,145679,25,02025
25265,460900,100680,25,02026
6044,1008600,250001,25,02030
4194,488800,155474,25,02032
17727,427500,96062,25,02035
33256,432700,122607,25,02038
23652,771600,142435,25,02043
10455,406600,88476,25,02045
97,744300,45655,25,02047
23947,412300,120613,25,02048
26222,461800,102249,25,02050
12841,667500,160963,25,02052
13325,413600,132823,25,02053
8233,400200,106164,25,02054
11309,506300,151279,25,02056
11054,608300,157987,25,02061
29306,439300,90133,25,02062
18239,591300,130893,25,02066
18508,559100,141596,25,02067
1526,387500,110809,25,02071
28639,348300,83519,25,02072
19904,486000,117535,25,02081
16154,713400,160329,25,02090
11823,443900,126613,25,02093
4454,1214500,146958,25,02108
4190,851100,163173,25,02109
2314,1147600,142869,25,02110
7926,873700,53596,25,02111
6966,617800,100483,25,02113
13335,707400,96563,25,02114
28652,860900,43144,25,02115
23157,1159700,110280,25,02116
28262,843500,67805,25,02118
27818,440800,31900,25,02119
15188,444200,38300,25,02120
30159,500100,32500,25,02121
24485,476900,60313,25,02122
56649,423600,58105,25,02124
34847,468200,57649,25,02125
29620,377700,55024,25,02126
37634,644200,109149,25,02127
47263,449000,60579,25,02128
19890,734200,128403,25,02129
40749,573400,94733,25,02130
34419,466300,80578,25,02131
27801,527800,103337,25,02132
19907,502600,62614,25,02134
44951,512100,78416,25,02135
35213,404100,69262,25,02136
38504,881200,105065,25,02138
38715,727200,105061,25,02139
21490,776800,103738,25,02140
14522,684200,84142,25,02141
3676,921400,121484,25,02142
25327,681900,98374,25,02143
24818,731500,113958,25,02144
28402,591400,83208,25,02145
60984,401900,65975,25,02148
46118,405800,65528,25,02149
39983,350800,56737,25,02150
53701,373800,62605,25,02151
18542,439800,74069,25,02152
59735,500800,96486,25,02155
2621,-666666666,53214,25,02163
56523,399100,72537,25,02169
19848,454200,83734,25,02170
17836,457200,84034,25,02171
28113,570300,106955,25,02176
23223,494600,101549,25,02180
37220,456500,96522,25,02184
27572,618800,133718,25,02186
15831,374800,86285,25,02188
15296,366400,76157,25,02189
17247,393800,95563,25,02190
8360,363400,78517,25,02191
1157,-666666666,83464,25,02199
30,-666666666,-666666666,25,02203
3715,860900,170588,25,02210
25770,544100,45856,25,02215
63420,274200,52373,25,02301
32174,252000,70191,25,02302
4500,331500,85200,25,02322
27436,358900,95675,25,02324
11720,291500,70959,25,02330
15812,651000,128173,25,02332
14466,352300,90528,25,02333
7842,299300,92774,25,02338
14459,512000,127981,25,02339
10777,363700,96693,25,02341
10423,323400,75273,25,02343
24802,308200,83631,25,02346
11420,371000,106633,25,02347
16436,357300,99381,25,02351
13312,451300,125205,25,02356
1061,-666666666,-666666666,25,02357
18380,398400,103905,25,02359
59826,370100,90279,25,02360
13566,378500,96104,25,02364
198,-666666666,-666666666,25,02366
2954,383600,94167,25,02367
34686,331700,82902,25,02368
17953,310800,78011,25,02370
10248,359800,100136,25,02375
7198,351900,97404,25,02379
15056,327100,86570,25,02382
14718,891700,195494,25,02420
18622,887800,178358,25,02421
21074,937100,132688,25,02445
29862,881100,98978,25,02446
18246,525400,111587,25,02451
14909,564300,90755,25,02452
